geonameid	name	asciiname	alternatenames	latitude	longitude	"feature class"	"feature code"	"country code"	cc2	"admin1 code"	"admin2 code"	"admin3 code"	"admin4 code"	population	elevation	dem	timezone	"modification date"
7062677	Rudigi	Rudigi		-2.4682	29.6147	H	STM	RW		15				0		1735	Africa/Kigali	2009-11-28
7062678	Gatenga	Gatenga		-2.4607	29.6121	H	STMI	RW		15				0		1704	Africa/Kigali	2009-11-28
7062679	Rwabuso	Rwabuso		-2.4556	29.6082	H	STM	RW		15				0		1750	Africa/Kigali	2009-11-28
7062680	Nkomane	Nkomane		-2.4554	29.6083	H	STM	RW		15				0		1751	Africa/Kigali	2009-11-28
7062681	Mashyoza	Mashyoza		-2.4475	29.6125	H	STMI	RW		15				0		1819	Africa/Kigali	2009-11-28
7062682	Gisiza	Gisiza		-2.4465	29.6129	H	STMI	RW		15				0		1818	Africa/Kigali	2009-11-28
7062683	Rwanzovu	Rwanzovu		-2.4467	29.6131	H	STMI	RW		15				0		1811	Africa/Kigali	2009-11-28
7062684	Mahindure	Mahindure		-2.4597	29.6121	H	STM	RW		15				0		1712	Africa/Kigali	2009-11-28
7062685	Gasago	Gasago		-2.4649	29.6187	H	STM	RW		15				0		1723	Africa/Kigali	2009-11-28
7062686	Gahongorome	Gahongorome		-2.4655	29.6218	H	STM	RW		15				0		1695	Africa/Kigali	2009-11-28
7062687	Gisuma	Gisuma		-2.4597	29.6318	H	STM	RW		15				0		1659	Africa/Kigali	2009-11-28
7062688	Nyirabirenge	Nyirabirenge		-2.4826	29.6291	H	STMI	RW		15				0		1706	Africa/Kigali	2009-11-28
7062689	Nyabitare	Nyabitare		-2.4476	29.6373	H	STMI	RW		15				0		1657	Africa/Kigali	2009-11-28
7062690	Karambo	Karambo		-2.4358	29.6249	H	STMI	RW		15				0		1759	Africa/Kigali	2009-11-28
7062691	Gaseke	Gaseke		-2.4379	29.6227	H	STMI	RW		15				0		1768	Africa/Kigali	2009-11-28
7062692	Rwakendangabo	Rwakendangabo		-2.4357	29.6249	H	STMI	RW		15				0		1759	Africa/Kigali	2009-11-28
7062693	Ngoma	Ngoma		-2.4407	29.6414	H	STM	RW		15				0		1614	Africa/Kigali	2009-11-28
7062694	Gasuma	Gasuma		-2.4357	29.6097	H	STMI	RW		15				0		1823	Africa/Kigali	2009-11-28
7062695	Ryagahene	Ryagahene		-2.4301	29.6094	H	STMI	RW		15				0		1815	Africa/Kigali	2009-11-28
7062696	Kaduli	Kaduli		-2.429	29.6092	H	STMI	RW		15				0		1823	Africa/Kigali	2009-11-28
7062697	Rwabirara	Rwabirara		-2.4274	29.6098	H	STMI	RW		15				0		1797	Africa/Kigali	2009-11-28
7062698	Mutende	Mutende		-2.4223	29.6062	H	STMI	RW		15				0		1860	Africa/Kigali	2009-11-28
7062699	Bitunda	Bitunda		-2.4244	29.609	H	STMI	RW		15				0		1825	Africa/Kigali	2009-11-28
7062700	Kanyirantaba	Kanyirantaba		-2.4242	29.609	H	STMI	RW		15				0		1825	Africa/Kigali	2009-11-28
